trial,ID,sex ,substrate_type,pauses_side,pauses_top,bipedal_quad_side,bipedal_quad_top,biped_combined,bipedal_side,bipedal_top,biped_tot,total_video_frames,bipedal_percent,no_start_from_standstill,stops_before_end_of_racetrack,calibration,side_amax,side_pmax,side_posmax,side_tmax,side_vmax,side_spline_tol,top_amax,top_pmax,top_posmax,top_tmax,top_vmax,top_spline_tol,peak_v,peak_v_cam
07.28.20_1542,K,F,D,1,0,Q,Q,Q,,,,,,N,N,1456,12,11.292,0.4691,0.716,1.5737,4.43E-09,9.8418,15.5925,0.698,0.464,1.7033,5.70E-09,1.7033,2
07.28.20_1549,M,F,D,1,0,Q,Q,Q,,,,,,N,N,1456,36,17.0453,0.4991,0.71,1.5432,6.09E-09,10.2366,20.4199,0.6948,0.398,2.0918,5.70E-09,2.0918,2
07.28.20_1556,L,F,D,0,0,Q,Q,Q,,,,,,N,N,1456,39,15.7674,0.4284,0.422,1.3366,4.43E-09,19.017,22.6175,0.6952,0.64,1.6915,5.70E-09,1.6915,2
07.28.20_1612,K,F,SD,0,0,Q,Q,Q,,,,,,N,N,1456,23,16.5774,0.4897,0.626,1.2692,6.23E-09,8.3625,10.2507,0.6941,0.574,1.6091,5.70E-09,1.6091,2
07.28.20_1623,M,F,SD,1,0,B,B,B,47,43,90,562,16.01423488,N,N,1456,26,19.9668,0.4244,0.678,1.7251,4.43E-09,14.0818,20.1942,0.6954,0.492,1.7499,5.70E-09,1.7499,2
07.28.20_1630,L,F,SD,0,1,Q,Q,Q,,,,,,N,N,1456,22,12.4283,0.4787,0.44,1.4573,4.43E-09,17.588,8.2569,0.6948,1.138,1.4173,1.11E-08,1.4573,1
07.28.20_1715,L,F,SD,0,0,Q,Q,Q,,,,,,N,N,1456,57,28.6822,0.4602,0.468,1.3364,4.43E-09,9.6764,12.7875,0.6961,0.626,1.6591,5.70E-09,1.6591,2
07.28.20_1739,M,F,SD,0,0,Q,B,B,,57,57,462,12.33766234,N,N,1456,25,28.0657,0.4539,0.606,1.612,4.43E-09,5.2707,10.4702,0.6968,0.37,2.1614,4.20E-09,2.1614,2
07.29.20_0957,L,F,SD,0,0,Q,B,B,,64,64,557,11.49012567,N,N,1451,17,10.8577,0.5092,0.566,1.2092,3.83E-09,12.0177,15.9374,0.6983,0.632,1.6742,5.70E-09,1.6742,2
07.29.20_1003,K,F,SD,1,0,B,B,B,75,14,89,592,15.03378378,N,N,1451,37,16.8155,0.4912,0.642,1.4974,5.03E-09,14.5483,25.0213,0.6959,0.594,1.851,5.70E-09,1.851,2
07.29.20_1028,L,F,SD,0,0,Q,Q,Q,,,,,,N,N,1451,47,28.5809,0.4662,0.592,1.1348,4.43E-09,11.5524,16.5382,0.6983,0.574,1.6866,5.70E-09,1.6866,2
07.29.20_1034,K,F,SD,0,0,Q,Q,Q,,,,,,N,N,1451,26,7.1702,0.3678,0.444,1.0711,5.13E-09,7.7554,9.2106,0.6986,0.532,1.7152,5.70E-09,1.7152,2
07.29.20_1042,M,F,SD,0,0,Q,Q,Q,,,,,,N,N,1451,25,11.7011,0.4694,0.45,1.2468,4.43E-09,11.0865,16.3009,0.6988,0.534,1.7537,5.70E-09,1.7537,2
07.29.20_1518,K,F,S,1,1,Q,Q,Q,,,,,,N,N,1453,35,14.7001,0.5762,0.1018,1.4401,7.93E-09,13.3633,12.6831,0.6978,0.636,1.337,5.70E-09,1.4401,2
07.29.20_1541,L,F,S,1,0,Q,Q,Q,,,,,,N,N,1453,23,7.4981,0.5865,0.95,1.0253,5.23E-09,11.5735,10.4408,0.6965,0.622,1.7576,5.70E-09,1.7576,2
07.29.20_1558,M,F,S,0,0,Q,Q,Q,,,,,,N,N,1453,30,11.3757,0.5453,0.648,1.5117,5.83E-09,8.7569,11.9199,0.697,0.592,1.6129,5.70E-09,1.6129,2
07.29.20_1631,K,F,S,2,0,Q,Q,Q,,,,,,N,N,1453,33,21.1313,0.5557,0.882,1.456,5.63E-09,19.2659,20.5517,0.6971,0.518,1.6252,3.80E-09,1.6252,2
07.29.20_1656,L,F,S,1,0,Q,Q,Q,,,,,,N,N,1453,43,31.2058,0.5251,0.804,1.1386,5.63E-09,9.6789,8.5748,0.6977,0.752,1.2142,5.70E-09,1.2142,2
07.30.20_1527,O,F,D,0,0,B,B,B,25,176,201,408,49.26470588,N,N,1452,17,13.1746,0.4543,0.462,1.5696,4.73E-09,9.3969,17.4901,0.6956,0.402,1.9701,3.30E-09,1.9701,2
07.30.20_1536,Q,M,D,0,0,Q,Q,Q,,,,,,N,N,1452,25,11.2169,0.4839,0.438,1.637,4.43E-09,7.8065,12.8161,0.6965,0.398,1.9432,5.70E-09,1.9432,2
07.30.20_1547,R,F,D,0,0,B,B,B,68,155,223,345,64.63768116,N,N,1452,42,28.9623,0.4683,0.38,1.8589,3.03E-09,11.4766,20.9971,0.6962,0.35,2.2559,3.40E-09,2.2559,2
07.30.20_1558,O,F,D,0,0,Q,Q,Q,,,,,,N,N,1452,30,18.1485,0.5098,0.414,1.7247,4.43E-09,13.1016,21.0236,0.6986,0.464,1.6947,3.70E-09,1.7247,1
07.30.20_1607,Q,M,D,0,0,B,B,B,72,133,205,401,51.12219451,N,N,1452,32,21.9549,0.5238,0.42,1.5769,4.43E-09,5.8404,10.3453,0.6995,0.406,1.8965,3.60E-09,1.8965,2
07.30.20_1638,Q,M,D,0,0,Q,Q,Q,,,,,,N,N,1452,28,10.614,0.5174,0.554,1.3926,4.43E-09,11.3135,14.1537,0.6987,0.524,1.6686,5.70E-09,1.6686,2
07.30.20_1651,R,F,D,0,0,B,B,B,110,155,265,368,72.01086957,N,N,1452,35,24.1898,0.4944,0.422,1.869,4.43E-09,6.5108,13.1874,0.6978,0.354,2.1369,5.70E-09,2.1369,2
07.30.20_1723,R,F,S,0,1,Q,Q,Q,,,,,,N,N,1452,24,22.2597,0.5303,0.438,1.5021,4.43E-09,22.1457,11.2838,0.6982,0.774,1.4537,5.70E-09,1.5021,1
07.31.20_0933,O,F,S,0,0,Q,Q,Q,,,,,,N,N,1446,25,12.5074,0.4155,0.33,1.6696,3.13E-09,12.0976,10.1769,0.7018,0.702,1.6575,5.70E-09,1.6696,2
07.31.20_1037,R,F,S,0,0,B,B,B,117,130,247,524,47.13740458,N,N,1446,33,15.0891,0.5881,0.454,1.6209,3.53E-09,8.4604,12.5761,0.6912,0.652,1.6059,5.70E-09,1.6209,2
07.31.20_1405,R,F,S,0,0,Q,B,B,,52,52,517,10.05802708,N,N,1445,32,14.0732,0.607,0.496,1.5379,5.43E-09,16.519,16.9374,0.7012,0.618,1.681,5.70E-09,1.681,2
07.31.20_1439,R,F,SD,0,0,Q,Q,Q,,,,,,N,Y,1445,32,14.2509,0.5603,0.52,1.5641,4.43E-09,18.5591,7.8298,-1.12E-09,1.09,1.32,1.28E-08,1.5641,2
07.31.20_1450,Q,M,SD,2,0,Q,Q,Q,,,,,,N,N,1445,25,10.3411,0.5346,1.048,1.1834,7.43E-09,10.8935,9.6723,0.7016,0.686,1.3117,5.70E-09,1.3117,2
07.31.20_1506,O,F,SD,1,0,Q,Q,Q,,,,,,N,N,1445,32,16.2215,0.5154,0.674,1.5186,4.43E-09,6.7521,9.7791,0.7009,0.494,1.6053,5.70E-09,1.6053,2
07.31.20_1525,Q,M,SD,0,0,Q,Q,Q,,,,,,N,N,1445,33,15.32,0.4491,0.598,1.2319,4.43E-09,14.405,19.587,0.7021,0.534,1.6026,5.70E-09,1.6026,2
07.31.20_1543,O,F,SD,0,0,B,Q,B,91,,91,486,18.72427984,N,N,1445,49,22.0461,0.5441,0.414,1.6991,4.43E-09,37.9658,21.6113,0.701,0.62,1.6696,5.70E-09,1.6991,1
07.31.20_1603,R,F,SD,0,0,Q,Q,Q,,,,,,N,N,1445,42,22.1619,0.5307,0.618,1.1973,4.43E-09,16.8378,16.9843,0.7005,0.55,1.6878,3.50E-09,1.6878,2
07.31.20_1724,O,F,SD,1,0,Q,Q,Q,,,,,,N,N,1445,46,24.8353,0.5099,0.362,1.7426,7.03E-09,7.2272,10.5051,0.7006,0.506,1.7419,5.70E-09,1.7426,2
07.31.20_1750,Q,M,SD,0,0,Q,Q,Q,,,,,,N,N,1445,24,15.9813,0.4857,0.668,1.1431,4.43E-09,17.5444,15.4735,0.7015,0.682,1.3022,5.70E-09,1.3022,2
08.01.20_0929,O,F,S,1,0,Q,B,B,,88,88,582,15.12027491,N,N,1445,59,40.2476,0.5877,0.724,1.4201,5.03E-09,13.0207,17.0246,0.7004,0.498,1.7991,5.70E-09,1.7991,2
08.01.20_0944,R,F,S,0,0,B,B,B,81,156,237,425,55.76470588,N,N,1445,25,13.8836,0.552,0.43,2.0255,2.83E-09,3.5936,7.0962,0.7012,0.354,2.0743,4.50E-09,2.0743,2
08.01.20_1114,Q,M,S,1,0,Q,Q,Q,,,,,,N,Y,1445,23,17.8146,0.5338,1.06,1.2552,4.43E-09,2.7734,3.2987,0.6217,0.72,1.2721,5.70E-09,1.2721,2
08.05.20_1528,S,F,SD,0,0,Q,B,B,,61,61,374,16.31016043,N,N,1450,17,16.4014,0.5215,0.432,2.08,3.13E-09,8.6561,17.1404,0.6962,0.35,2.1127,5.70E-09,2.1127,2
08.05.20_1536,T,F,SD,0,1,B,B,B,133,116,249,504,49.4047619,N,N,1450,46,27.9042,0.523,0.378,1.766,3.13E-09,42.4074,23.465,0.699,0.678,1.7618,5.70E-09,1.766,1
08.05.20_1559,S,F,SD,0,0,B,B,B,46,139,185,368,50.27173913,N,N,1450,28,19.2866,0.5435,0.416,1.8836,4.43E-09,6.2542,11.3855,0.6973,0.36,2.1219,5.70E-09,2.1219,2
08.05.20_1608,T,F,SD,1,0,B,B,B,44,138,182,399,45.61403509,N,N,1450,28,32.2058,0.4468,0.516,2.08,4.43E-09,10.95,21.0817,0.6977,0.322,2.3827,5.70E-09,2.3827,2
08.05.20_1639,T,F,SD,0,0,B,B,B,173,21,194,434,44.70046083,N,N,1450,47,25.2233,0.5367,0.402,1.8724,3.13E-09,7.2506,12.7797,0.6845,0.514,1.8576,4.10E-09,1.8724,1
08.05.20_1710,T,M,SD,0,0,B,B,B,139,106,245,335,73.13432836,N,N,1450,42,20.2963,0.5324,0.366,2.0227,2.93E-09,9.6515,18.7699,0.6983,0.344,2.1754,3.70E-09,2.1754,2
08.06.20_0941,T,M,D,0,0,B,B,B,98,100,198,423,46.80851064,N,N,1455,41,21.1156,0.5396,0.398,1.7358,3.13E-09,14.2748,22.3499,0.6947,0.488,1.892,5.70E-09,1.892,2
08.06.20_1012,T,M,D,0,0,B,B,B,130,59,189,344,54.94186047,N,N,1455,37,24.3914,0.5272,0.37,1.9738,4.43E-09,12.1311,22.9335,0.6957,0.356,2.0975,2.38E-09,2.0975,2
08.06.20_1036,S,M,D,0,0,Q,Q,Q,,,,,,N,N,1455,37,19.6722,0.4952,0.588,1.736,4.43E-09,8.5148,13.7703,0.6971,0.348,2.2335,3.80E-09,2.2335,2
08.06.20_1043,T,M,D,0,0,B,B,B,99,84,183,352,51.98863636,N,N,1455,43,27.5478,0.5016,0.404,2.0041,4.43E-09,15.1173,31.9325,0.695,0.336,2.3091,2.60E-09,2.3091,2
08.06.20_1435,T,M,S,0,0,B,B,B,119,158,277,343,80.75801749,N,N,1438,54,28.7382,0.5258,0.348,1.848,4.43E-09,34.9705,69.0194,0.7031,0.38,2.096,5.70E-09,2.096,2
08.06.20_1542,S,M,S,0,0,B,B,B,104,46,150,414,36.23188406,N,N,1438,23,24.0085,0.4042,0.282,2.1279,4.43E-09,10.7084,22.9735,0.706,0.582,2.2058,2.29E-09,2.2058,2
08.06.20_1614,S,M,S,0,0,Q,B,B,,87,87,502,17.33067729,N,N,1438,23,11.2234,0.4191,0.486,1.1919,4.43E-09,13.2506,21.3267,0.7034,0.61,1.9727,8.80E-09,1.9727,2
08.14.20_1535,U,F,S,1,0,Q,Q,Q,,,,,,N,N,1445,31,25.9815,0.475,0.464,1.507,4.23E-09,10.4509,13.8305,0.7021,0.434,1.7989,4.10E-09,1.7989,2
08.14.20_1608,U,F,S,0,0,Q,B,B,,88,88,351,25.07122507,N,N,1445,18,12.9976,0.3442,0.308,1.4475,2.63E-09,3.9236,6.008,0.7028,0.458,1.6709,5.70E-09,1.6709,2
08.14.20_1644,U,F,SD,1,0,B,B,B,32,90,122,496,24.59677419,N,N,1445,40,64.2167,0.5253,0.64,1.6215,4.43E-09,20.9724,26.7537,0.6994,0.49,1.9681,8.09E-09,1.9681,2
08.14.20_1715,U,F,SD,0,0,Q,B,B,,55,55,448,12.27678571,N,N,1445,22,9.5932,0.4664,0.428,1.3229,4.43E-09,15.5427,21.0642,0.6984,0.534,2.2026,6.80E-09,2.2026,2
08.14.20_1746,U,F,SD,0,0,B,B,B,93,255,348,431,80.7424594,N,N,1445,18,14.4359,0.5098,0.436,1.5695,2.83E-09,16.6119,28.9026,0.7009,0.476,2.1703,5.70E-09,2.1703,2
08.15.20_0955,U,F,D,1,0,B,B,B,68,43,111,521,21.30518234,N,N,1450,36,25.5666,0.5699,0.676,1.7749,4.43E-09,10.641,18.4894,0.6988,0.408,2.0719,5.70E-09,2.0719,2
08.15.20_1027,U,F,D,0,0,B,B,B,166,113,279,386,72.27979275,N,N,1450,31,18.0382,0.5159,0.408,1.7478,3.73E-09,9.1499,15.6629,0.6961,0.406,1.8558,5.70E-09,1.8558,2
08.15.20_1101,U,F,D,1,0,Q,B,B,,51,51,490,10.40816327,N,N,1450,26,29.9882,0.5238,0.62,1.6157,4.43E-09,12.8556,25.25,0.6972,0.408,2.288,5.70E-09,2.288,2
08.15.20_1137,U,F,D,1,0,B,B,B,28,98,126,514,24.51361868,N,N,1450,46,27.3005,0.4562,0.708,1.5092,4.43E-09,16.8343,22.2904,0.6996,0.372,2.2999,5.70E-09,2.2999,2
08.15.20_1141,U,F,D,0,0,B,B,B,133,58,191,424,45.04716981,N,N,1450,16,13.245,0.5147,0.454,1.6856,3.33E-09,9.6788,16.8509,0.6979,0.434,1.818,5.70E-09,1.818,2
09.02.20_1436,V,M,D,0,0,B,B,B,82,129,211,361,58.44875346,N,N,1455,37,37.3417,0.4424,0.458,1.9086,4.43E-09,10.521,21.3197,0.6969,0.302,2.6457,4.20E-09,2.6457,2
09.02.20_1507,V,M,D,0,0,B,B,B,91,82,173,385,44.93506494,N,N,1455,28,18.5472,0.5433,0.384,1.7904,4.43E-09,32.0585,49.4118,0.6947,0.424,2.6335,5.70E-09,2.6335,2
09.02.20_1538,V,M,D,1,0,B,B,B,33,137,170,389,43.70179949,N,N,1455,65,47.2294,0.4495,0.494,2.1199,4.43E-09,6.3628,12.5604,0.6915,0.31,2.4173,3.40E-09,2.4173,2
09.02.20_1640,V,M,SD,0,0,Q,Q,Q,,,,,,N,N,1455,36,24.7311,0.3825,0.304,1.648,4.43E-09,14.7608,22.3067,0.6957,0.462,1.9227,3.70E-09,1.9227,2
09.03.20_0945,V,M,SD,0,0,Q,B,B,,81,81,309,26.21359223,N,N,1438,36,29.1288,0.4702,0.322,1.9815,2.21E-09,8.6273,20.058,0.707,0.334,2.4677,5.70E-09,2.4677,2
09.03.20_1016,V,M,SD,1,0,B,B,B,53,146,199,469,42.43070362,N,N,1438,35,36.0002,0.5075,0.586,1.7411,4.43E-09,13.7458,24.786,0.7053,0.392,2.2124,5.70E-09,2.2124,2
09.03.20_1502,V,M,S,0,0,Q,Q,Q,,,,,,N,N,1446,29,19.9674,0.3605,0.318,1.4674,3.23E-09,13.0152,19.8128,0.6993,0.506,1.702,4.60E-09,1.702,2
09.03.20_1533,V,M,S,1,0,Q,Q,Q,,,,,,N,N,1446,17,15.2272,0.4166,0.5341,1.3119,4.43E-09,11.6306,14.5614,0.7017,0.492,1.6966,4.20E-09,1.6966,2
